Date,Open,High,Low,Close,Adj Close,Volume
6/13/16,209.360001,210.369995,208.350006,208.449997,192.655502,117751200
6/14/16,208,208.740005,206.919998,208.039993,192.27655,125059300
6/15/16,208.039993,209.360001,207.529999,207.75,192.00853,109124500
6/16/16,207.75,208.570007,205.589996,208.369995,192.581558,149533100
6/17/16,207.169998,207.199997,205.75,206.520004,191.864365,117055700
6/20/16,208.820007,209.610001,207.75,207.850006,193.09993,82789600
6/21/16,208.300003,208.919998,207.779999,208.440002,193.648132,72461700
6/22/16,208.649994,209.5,207.929993,208.100006,193.33223,95560500
6/23/16,209.809998,210.869995,209.270004,210.809998,195.84993,102731400
6/24/16,203.630005,210.850006,202.720001,203.240005,188.817093,333444400
6/27/16,201.589996,201.600006,198.649994,199.600006,185.435425,230775800
6/28/16,201.479996,203.229996,201.119995,203.199997,188.779968,159382400
6/29/16,204.839996,206.929993,204.720001,206.660004,191.994431,137328600
6/30/16,207.210007,209.539993,206.559998,209.479996,194.614304,165021900
7/1/16,209.479996,210.490005,209.289993,209.919998,195.023087,106055300
7/5/16,208.949997,209.080002,207.710007,208.410004,193.620224,109803700
7/6/16,207.830002,209.800003,207.059998,209.660004,194.781509,96021500
7/7/16,209.869995,210.649994,208.630005,209.529999,194.660767,85593800
7/8/16,211.050003,212.940002,210.779999,212.649994,197.559341,133971000
7/11/16,213.190002,214.070007,212.949997,213.399994,198.256134,73633900
7/12/16,214.529999,215.300003,213.429993,214.949997,199.696121,101275600
7/13/16,215.440002,215.449997,214.350006,214.919998,199.668243,87324100
7/14/16,216.399994,216.669998,215.660004,216.119995,200.783112,91230900
7/15/16,216.779999,217.009995,215.309998,215.830002,200.513687,107155400
7/18/16,215.970001,216.600006,215.669998,216.410004,201.052505,58725900
7/19/16,215.919998,216.229996,215.630005,216.190002,200.848099,54345700
7/20/16,216.190002,217.369995,216.190002,217.089996,201.68425,58159500
7/21/16,216.960007,217.220001,215.75,216.270004,200.92247,67777300
7/22/16,216.410004,217.300003,216.100006,217.240005,201.823639,62787500
7/25/16,217,217.059998,215.970001,216.649994,201.275482,55873100
7/26/16,216.529999,217.169998,215.759995,216.75,201.368347,70080500
7/27/16,217.190002,217.270004,215.619995,216.520004,201.154709,84083900
7/28/16,216.289993,217.110001,215.75,216.770004,201.386963,65035700
7/29/16,216.460007,217.539993,216.130005,217.119995,201.712112,79519400
8/1/16,217.190002,217.649994,216.410004,216.940002,201.544922,73311400
8/2/16,216.649994,216.830002,214.570007,215.550003,200.25351,92295500
8/3/16,215.479996,216.25,215.130005,216.179993,200.838837,53993600
8/4/16,216.309998,216.779999,214.25,216.410004,201.052505,46585500
8/5/16,216.410004,218.229996,216.410004,218.179993,202.696899,71892200
8/8/16,218.399994,218.520004,217.740005,218.050003,202.576111,39906500
8/9/16,218.130005,218.759995,217.800003,218.179993,202.696899,51251700
8/10/16,218.309998,218.399994,217.229996,217.639999,202.195236,57941100
8/11/16,218.259995,218.940002,217.949997,218.649994,203.13356,72504300
8/12/16,218.289993,218.710007,217.990005,218.460007,202.957031,61313500
8/15/16,218.889999,219.5,218.880005,219.089996,203.542328,49813500
8/16/16,218.600006,218.679993,217.960007,217.960007,202.492538,53213600
8/17/16,218,218.529999,217.020004,218.369995,202.873413,75134300
8/18/16,218.339996,218.899994,218.210007,218.860001,203.328659,52989300
8/19/16,218.309998,218.75,217.740005,218.539993,203.031342,75443000
8/22/16,218.259995,218.800003,217.830002,218.529999,203.022064,61368800
8/23/16,219.25,219.600006,218.899994,218.970001,203.430847,53399200
8/24/16,218.800003,218.910004,217.360001,217.850006,202.39035,71728900
8/25/16,217.399994,218.190002,217.220001,217.699997,202.250961,69224800
8/26/16,217.919998,219.119995,216.25,217.289993,201.870071,122506300
8/29/16,217.440002,218.669998,217.399994,218.360001,202.864105,70502200
8/30/16,218.259995,218.589996,217.350006,218,202.529678,58114500
8/31/16,217.610001,217.75,216.470001,217.380005,201.95369,85269500
9/1/16,217.369995,217.729996,216.029999,217.389999,201.962982,97844200
9/2/16,218.389999,218.869995,217.699997,218.369995,202.873413,79293900
9/6/16,218.699997,219.119995,217.860001,219.029999,203.486588,56702100
9/7/16,218.839996,219.220001,218.300003,219.009995,203.468002,76554900
9/8/16,218.619995,218.940002,218.149994,218.509995,203.003494,74102900
9/9/16,216.970001,217.029999,213.25,213.279999,198.144638,221589100
9/12/16,212.389999,216.809998,212.309998,216.339996,200.987488,168110900
9/13/16,214.839996,215.149994,212.5,213.229996,198.09816,182828800
9/14/16,213.289993,214.699997,212.5,213.149994,198.023834,134185500
9/15/16,212.960007,215.729996,212.75,215.279999,200.002716,134427900
9/16/16,213.479996,213.690002,212.570007,213.369995,199.229568,155236400
9/19/16,214.130005,214.880005,213.029999,213.410004,199.266891,80250500
9/20/16,214.410004,214.589996,213.380005,213.419998,199.27626,69665300
9/21/16,214.240005,216.029999,213.440002,215.820007,201.517212,110284400
9/22/16,217,217.529999,216.710007,217.179993,202.787064,76678700
9/23/16,216.720001,216.880005,215.880005,215.990005,201.675934,73630900
9/26/16,215.020004,215.229996,214.009995,214.240005,200.041931,89827300
9/27/16,214.050003,215.679993,213.619995,215.570007,201.283798,78494800
9/28/16,215.830002,216.820007,214.710007,216.639999,202.282867,87411000
9/29/16,216.399994,216.869995,214.039993,214.679993,200.452789,128070600
9/30/16,215.649994,217.119995,215.360001,216.300003,201.965393,117202900
10/3/16,215.820007,216.039993,215.039993,215.779999,201.479828,83512100
10/4/16,215.910004,216.169998,213.990005,214.679993,200.452789,119948100
10/5/16,215.410004,216.130005,215.330002,215.630005,201.339813,72816000
10/6/16,215.369995,216.039993,214.740005,215.779999,201.479828,62927400
10/7/16,216.100006,216.300003,214.190002,215.039993,200.78891,89788300
10/10/16,216.160004,216.699997,215.990005,216.160004,201.834702,51855000
10/11/16,215.660004,215.740005,212.580002,213.429993,199.285583,130367400
10/12/16,213.589996,214.320007,213.009995,213.710007,199.547043,73866100
10/13/16,212.160004,213.589996,211.210007,213.009995,198.893433,101357000
10/14/16,214.149994,214.690002,213.029999,213.119995,198.99617,93346200
10/17/16,213.089996,213.389999,212.169998,212.380005,198.305176,58275700
10/18/16,214.240005,214.309998,213.270004,213.710007,199.547043,76869700
10/19/16,214.020004,214.639999,213.600006,214.279999,200.079285,66519200
10/20/16,213.869995,214.529999,213.110001,213.880005,199.705765,73639800
10/21/16,213.880005,214.080002,212.759995,213.979996,199.799149,89089100
10/24/16,215,215.320007,214.479996,214.889999,200.648819,60146600
10/25/16,214.679993,214.979996,213.979996,214.169998,199.976563,66542300
10/26/16,213.210007,214.419998,212.929993,213.740005,199.575058,75705500
10/27/16,214.580002,214.619995,213.080002,213.169998,199.042862,77220200
10/28/16,213.139999,213.929993,211.710007,212.539993,198.454559,140623200
10/31/16,212.929993,213.190002,212.360001,212.550003,198.463913,61272500
11/1/16,212.929993,212.990005,209.600006,211.009995,197.02597,122781800
11/2/16,210.649994,211.100006,209.229996,209.740005,195.840149,103330800
11/3/16,209.990005,210.240005,208.460007,208.779999,194.943741,88939300
11/4/16,208.910004,209.889999,208.380005,208.550003,194.729034,109122100
11/7/16,208.550003,213.190002,208.550003,213.149994,199.024124,109794900
11/8/16,212.690002,214.770004,212.380005,214.110001,199.920517,106772100
11/9/16,212.369995,217.100006,212.339996,216.380005,202.040115,258429000
11/10/16,217.300003,218.309998,215.220001,216.919998,202.544296,172113300
11/11/16,216.080002,216.699997,215.320007,216.419998,202.077454,100552700
11/14/16,217.029999,217.270004,215.720001,216.589996,202.236176,94580000
11/15/16,217.039993,218.279999,216.800003,218.279999,203.814178,91652600
11/16/16,217.559998,218.139999,217.419998,217.869995,203.431366,65617700
11/17/16,218.050003,219.059998,217.919998,218.990005,204.477142,69797200
11/18/16,219.070007,219.270004,218.289993,218.5,204.019608,86265800
11/21/16,219.169998,220.179993,219,220.149994,205.560242,72402600
11/22/16,220.509995,220.789993,219.729996,220.580002,205.961761,67429000
11/23/16,219.979996,220.759995,219.75,220.699997,206.073807,56620200
11/25/16,221.100006,221.559998,221.009995,221.520004,206.839462,37872300
11/28/16,221.160004,221.479996,220.360001,220.479996,205.868362,76572500
11/29/16,220.520004,221.440002,220.169998,220.910004,206.269852,69886700
11/30/16,221.630005,221.820007,220.309998,220.380005,205.775024,113291800
12/1/16,220.729996,220.729996,219.149994,219.570007,205.018677,79040500
12/2/16,219.669998,220.25,219.259995,219.679993,205.121384,74840300
12/5/16,220.649994,221.399994,220.419998,221,206.353928,67837800
